x,u
0.005,8.17375e-19
0.015,2.72847e-17
0.025,4.56997e-16
0.035,5.12446e-15
0.045,4.33141e-14
0.055,2.94633e-13
0.065,1.68182e-12
0.075,8.29577e-12
0.085,3.61423e-11
0.095,1.41478e-10
0.105,5.0455e-10
0.115,1.65836e-09
0.125,5.07306e-09
0.135,1.45658e-08
0.145,3.95389e-08
0.155,1.02105e-07
0.165,2.52176e-07
0.175,5.98319e-07
0.185,1.36874e-06
0.195,3.02797e-06
0.205,6.4928e-06
0.215,1.35189e-05
0.225,2.73698e-05
0.235,5.39346e-05
0.245,0.000103529
0.255,0.000193692
0.265,0.000353356
0.275,0.000628816
0.285,0.00109189
0.295,0.00185053
0.305,0.00306184
0.315,0.00494695
0.325,0.00780651
0.335,0.0120347
0.345,0.0181285
0.355,0.0266886
0.365,0.0384077
0.375,0.0540413
0.385,0.0743591
0.395,0.100076
0.405,0.131764
0.415,0.169755
0.425,0.214037
0.435,0.264165
0.445,0.319203
0.455,0.377697
0.465,0.437709
0.475,0.496902
0.485,0.552687
0.495,0.602403
0.5,0.601981
0.51,0.648798
0.52,0.686207
0.53,0.712356
0.54,0.725396
0.55,0.723474
0.55,0.722865
0.56,0.70621
0.57,0.673097
0.58,0.626053
0.59,0.5676
0.6,0.500265
0.6,0.500816
0.61,0.427746
0.62,0.354489
0.63,0.283866
0.64,0.218699
0.65,0.161808
0.65,0.162126
0.66,0.114346
0.67,0.0771234
0.68,0.0492228
0.69,0.0294087
0.7,0.0164458
0.7,0.0162152
0.71,0.00857201
0.72,0.00398054
0.73,0.00160901
0.74,0.000625617
0.75,0.000198599
0.75,0.000178084
0.76,6.17787e-05
0.77,9.30543e-06
0.78,-3.17528e-06
0.79,4.97016e-07
0.8,-3.5172e-06
0.8,-3.93461e-06
0.81,-2.04197e-06
0.82,-7.2062e-07
0.83,3.54905e-08
0.84,2.32419e-07
0.85,-1.23777e-07
0.85,-2.31155e-07
0.86,-1.85782e-07
0.87,-5.29349e-08
0.88,7.97331e-08
0.89,1.24571e-07
0.9,-6.07453e-09
0.9,-4.84395e-08
0.91,-7.99206e-08
0.92,-3.78001e-08
0.93,2.52902e-08
0.94,5.67184e-08
0.95,3.85285e-09
0.95,-1.78257e-08
0.96,-3.35161e-08
0.97,-1.5936e-08
0.98,1.10399e-08
0.99,2.35366e-08
1,-2.32076e-09
