x,u
0.005,5.23572e-33
0.015,3.52385e-31
0.025,1.18619e-29
0.035,2.66296e-28
0.045,4.48587e-27
0.055,6.0489e-26
0.065,6.80194e-25
0.075,6.56156e-24
0.085,5.54388e-23
0.095,4.16828e-22
0.105,2.82425e-21
0.115,1.74217e-20
0.125,9.86751e-20
0.135,5.16853e-19
0.145,2.51907e-18
0.155,1.14855e-17
0.165,4.92194e-17
0.175,1.99073e-16
0.185,7.62787e-16
0.195,2.77827e-15
0.205,9.64857e-15
0.215,3.20396e-14
0.225,1.01992e-13
0.235,3.11991e-13
0.245,9.19108e-13
0.255,2.61294e-12
0.265,7.18216e-12
0.275,1.91208e-11
0.285,4.93845e-11
0.295,1.23925e-10
0.305,3.02561e-10
0.315,7.19617e-10
0.325,1.66927e-09
0.335,3.78042e-09
0.345,8.36668e-09
0.355,1.81106e-08
0.365,3.83711e-08
0.375,7.96268e-08
0.385,1.6194e-07
0.395,3.22935e-07
0.405,6.31745e-07
0.415,1.21286e-06
0.425,2.28599e-06
0.435,4.23131e-06
0.445,7.69365e-06
0.455,1.37455e-05
0.465,2.41355e-05
0.475,4.16598e-05
0.485,7.07008e-05
0.495,0.000117994
0.5,0.000113579
0.51,0.000177221
0.52,0.000260205
0.53,0.000381014
0.54,0.000558134
0.55,0.00081005
0.55,0.000793974
0.56,0.00117366
0.57,0.00167283
0.58,0.00237239
0.59,0.00335324
0.6,0.00469627
0.6,0.00465944
0.61,0.00654076
0.62,0.00900008
0.63,0.0122955
0.64,0.016685
0.65,0.0224268
0.65,0.0224059
0.66,0.0298848
0.67,0.0394268
0.68,0.0515335
0.69,0.066707
0.7,0.0854489
0.7,0.0855951
0.71,0.108246
0.72,0.135735
0.73,0.168252
0.74,0.205982
0.75,0.249114
0.75,0.249448
0.76,0.297281
0.77,0.350324
0.78,0.407002
0.79,0.465737
0.8,0.524954
0.8,0.5248
0.81,0.582289
0.82,0.635
0.83,0.680216
0.84,0.715226
0.85,0.737316
0.85,0.73648
0.86,0.744673
0.87,0.734959
0.88,0.708512
0.89,0.666505
0.9,0.610112
0.9,0.610366
0.91,0.542499
0.92,0.467647
0.93,0.389846
0.94,0.313134
0.95,0.241547
0.95,0.242211
0.96,0.177932
0.97,0.125107
0.98,0.0831792
0.99,0.0515914
1,0.0297863
